iter	RMSE
0	36.94652208
1	35.76844156
2	34.57324204
3	33.41982565
4	32.30012006
5	31.34099827
6	30.30752224
7	29.2439429
8	28.33907939
9	27.54436171
10	26.68311736
11	25.94284471
12	25.17463588
13	24.46625598
14	23.85500651
15	23.21277574
16	22.58170868
17	22.0617184
18	21.44878824
19	20.95707093
20	20.45843951
21	20.01310163
22	19.58896087
23	19.19860882
24	18.76380134
25	18.35641054
26	18.0414013
27	17.71142823
28	17.30636803
29	16.97256003
30	16.62047902
31	16.33078473
32	16.06308482
33	15.76104317
34	15.48962296
35	15.24338958
36	15.05838015
37	14.84009352
38	14.60237858
39	14.35673777
40	14.12462972
41	13.94054335
42	13.72616621
43	13.49228565
44	13.34664135
45	13.14287381
46	12.96660551
47	12.73667049
48	12.57876127
49	12.43273987
50	12.25729042
51	12.14150014
52	11.96859139
53	11.8601265
54	11.73495805
55	11.59108303
56	11.4840404
57	11.36236218
58	11.27426302
59	11.14957503
60	11.04469707
61	10.9215519
62	10.84855702
63	10.76926974
64	10.67820514
65	10.60429806
66	10.50911929
67	10.39227112
68	10.3394282
69	10.25521325
70	10.17050341
71	10.01983574
72	9.942470169
73	9.902346888
74	9.827201436
75	9.756299838
76	9.686652522
77	9.602201248
78	9.530994154
79	9.480544715
80	9.437992952
81	9.396537366
82	9.331451128
83	9.290768549
84	9.207171028
85	9.105716172
86	9.073928515
87	9.022737698
88	8.971706236
89	8.87638829
90	8.83186369
91	8.801057348
92	8.67801424
93	8.615525436
94	8.575812524
95	8.553749169
96	8.515033309
97	8.477578305
98	8.37580525
99	8.322410674
100	8.290786553
101	8.242694485
102	8.16387376
103	8.137509207
104	8.104905678
105	8.062477461
106	8.045420525
107	7.996853695
108	7.961785669
109	7.896916698
110	7.83918972
111	7.816130518
112	7.768212192
113	7.730988144
114	7.691003998
115	7.655470447
116	7.607568319
117	7.584801247
118	7.508648478
119	7.455425576
120	7.440702643
121	7.374622409
122	7.361605695
123	7.295155505
124	7.279706884
125	7.231553308
126	7.174807552
127	7.134810987
128	7.0793924
129	7.054522121
130	7.033409152
131	6.997858139
132	6.972506399
133	6.924530973
134	6.873019199
135	6.854676344
136	6.826846329
137	6.78514359
138	6.736027281
139	6.713727851
140	6.69684244
141	6.677472741
142	6.659743948
143	6.625758604
144	6.597482256
145	6.579561062
146	6.565773563
147	6.513354053
148	6.488933417
149	6.446506606
150	6.433678762
151	6.420796249
152	6.379372689
153	6.350122687
154	6.324700897
155	6.308245568
156	6.297720102
157	6.27768657
158	6.245603771
159	6.237885138
160	6.220508247
161	6.199291089
162	6.176910526
163	6.146334414
164	6.123503143
165	6.105946426
166	6.090268118
167	6.073359848
168	6.046028125
169	6.03075891
170	6.011933878
171	5.998070469
172	5.987618721
173	5.972839297
174	5.960055557
175	5.949919668
176	5.937136171
177	5.922638439
178	5.912411094
179	5.893736695
180	5.88877196
181	5.884041449
182	5.870250472
183	5.839488413
184	5.834773632
185	5.79858118
186	5.776054843
187	5.771682163
188	5.761744319
189	5.750062
190	5.741590051
191	5.719689732
192	5.706257718
193	5.69960633
194	5.685773446
195	5.672113846
196	5.661352095
197	5.657421534
198	5.641954926
199	5.614065569
