iter	Passed	Remaining
0	1	396
1	3	328
2	4	297
3	5	285
4	6	272
5	8	264
6	9	260
7	10	254
8	11	252
9	13	247
10	14	246
11	15	243
12	16	240
13	17	237
14	19	236
15	20	234
16	21	232
17	22	230
18	23	228
19	25	226
20	26	226
21	27	218
22	28	217
23	29	216
24	30	214
25	31	213
26	33	212
27	34	210
28	35	210
29	36	209
30	38	208
31	39	206
32	40	205
33	41	203
34	42	202
35	44	201
36	45	200
37	46	198
38	47	197
39	48	195
40	50	195
41	51	193
42	52	192
43	54	191
44	55	190
45	56	189
46	57	187
47	59	186
48	60	185
49	61	184
50	62	183
51	64	182
52	65	181
53	66	180
54	67	178
55	68	177
56	70	176
57	71	174
58	72	173
59	73	171
60	74	170
61	75	169
62	77	168
63	78	166
64	79	165
65	80	163
66	81	162
67	83	161
68	84	160
69	85	158
70	86	157
71	87	156
72	89	155
73	90	154
74	91	153
75	93	151
76	94	150
77	95	149
78	96	148
79	98	147
80	99	145
81	100	144
82	101	143
83	102	142
84	104	140
85	105	139
86	106	138
87	108	137
88	109	136
89	110	135
90	111	133
91	113	132
92	114	131
93	115	130
94	117	129
95	118	128
96	119	126
97	120	125
98	122	124
99	123	123
100	124	122
101	125	120
102	127	119
103	128	118
104	129	117
105	130	115
106	132	114
107	133	113
108	134	112
109	135	111
110	137	109
111	138	108
112	139	107
113	140	106
114	141	104
115	143	103
116	144	102
117	145	101
118	146	99
119	148	98
120	149	97
121	150	96
122	151	94
123	152	93
124	154	92
125	155	91
126	156	90
127	157	88
128	159	87
129	160	86
130	161	85
131	163	84
132	164	82
133	165	81
134	166	80
135	167	79
136	169	77
137	170	76
138	171	75
139	173	74
140	174	72
141	175	71
142	176	70
143	177	69
144	179	68
145	180	66
146	181	65
147	183	64
148	184	63
149	185	61
150	186	60
151	187	59
152	188	58
153	190	56
154	191	55
155	192	54
156	193	53
157	194	51
158	196	50
159	197	49
160	198	48
161	199	46
162	200	45
163	202	44
164	203	43
165	204	41
166	205	40
167	207	39
168	208	38
169	209	36
170	210	35
171	212	34
172	214	33
173	215	32
174	216	30
175	218	29
176	219	28
177	220	27
178	222	26
179	223	24
180	224	23
181	225	22
182	226	21
183	228	19
184	229	18
185	230	17
186	231	16
187	232	14
188	233	13
189	235	12
190	236	11
191	237	9
192	238	8
193	239	7
194	241	6
195	242	4
196	243	3
197	244	2
198	245	1
199	247	0
